id,soc.t.ha,thickness.dm,x,y
P 008227,227.7728264,12.5,2320444.403,871692.5813
P 008228,4.41221315,0.6,2333571.103,885619.4367
P 008301,260.5517089,14,2466124.537,811969.5287
P 008302,106.2956765,12.5,2483221.954,817163.705
P 008303,77.91446331,7,2480194.159,799757.9763
P 008309,79.14675347,12.5,2354533.461,809994.0512
P 008313,55.74940551,5.2,2303725.537,851734.7875
P 008407,101.197248,12.5,2498232.083,869673.2183
P 008409,60.66355317,12.5,2395096.303,884081.6727
P 008470,101.1129269,14.3,2496932.09,869878.5752
P 010010,37.54345803,9.7,2309120.012,768864.8988
P 010011,63.85960354,1.6,2345459.377,768349.8144
P 010014,77.25681686,7.2,2384635.728,766762.6719
P 010015,23.3897201,2.4,2442343.514,766010.8561
P 010016,7.790776036,1.9,2298542.666,765219.5674
P 010017,79.29098102,2.3,2402905.755,761370.9458
P 010018,60.82867478,3,2419126.7,760682.3113
P 010022,29.94224684,1.9,2312835.353,758133.1328
P 010023,2.67125772,1,2481261.287,757196.5077
P 010027,11.84334523,2.3,2327164.252,756137.1352
P 010032,52.20188664,1.2,2410077.445,752803.7494
P 010033,32.99104702,1,2374068.339,750380.6671
P 010034,13.55609734,1,2475664.833,749144.0412
P 010037,94.64313064,5.9,2387594.421,747172.8424
P 010043,17.86788908,1.2,2475254.184,741878.8189
P 010044,105.7495314,3.1,2421000.361,741357.0052
P 010052,23.78097634,2.3,2374326.773,730323.4616
P 010056,86.2952692,1.8,2392378.968,723370.4351
P 010059,38.491404,2.2,2469031.267,716039.3378
P 010070,158.8328342,1.7,2393044.168,703011.9251
P 010071,19.8221835,1.6,2463432.431,700099.6939
P 010077,71.48306452,1.5,2423921.283,678427.7886
P 010101,11.92177166,8.3,2447985.67,694657.1637
P 010102,5.841617676,1.8,2483794.51,708906.0233
P 010103,3.722357808,2.6,2487087.466,763106.82
P 010104,35.8736878,2.5,2482789.362,776701.059
P 010105,9.856658344,10.2,2431056.42,742021.6527
P 010106,81.88714019,12.5,2385181.022,759625.5273
P 010107,53.63028247,6,2379700.144,713352.6651
P 010108,76.42196727,12.5,2380670.185,718969.0686
P 010109,39.92124341,5,2347681.855,733442.5591
P 010110,31.763607,8.1,2291480.505,776280.4686
P 010111,83.3662945,12.5,2308890.176,756938.1807
P 010112,35.74089725,2.4,2316024.664,747651.0048
P 010113,56.02211411,10,2430400.171,690884.0869
P 010115,11.09679434,6.7,2495361.561,671082.3977
P 011000,4.977055439,2,2472118.27,663011.2952
P 011001,64.66074351,7.4,2478419.545,665985.6201
P 012201,25.0195627,3.5,2515523.671,804991.5837
P 012202,24.63600096,6,2502551.864,816178.4894
P 012203,51.58624734,10,2517743.163,789763.7771
P 012205,321.7544947,10,2520958.532,831613.6817
P 012206,286.7412217,11,2539907.038,814099.4482
P 012208,159.924213,12.5,2562768.693,812518.1619
P 012209,27.40237424,3,2586224.849,817092.6893
P 012210,61.72870659,12.5,2568848.976,849777.1621
P 012211,11.91808711,2,2572892.315,863530.2707
P 012212,74.91121033,12.5,2600921.621,866222.7405
P 012213,194.1080619,7,2589765.563,839791.7225
P 012214,43.40640895,3.5,2583125.659,848262.0035
P 012215,210.2688312,12.5,2603402.878,850944.8891
P 012216,76.24753189,12,2611222.439,826579.8872
P 012217,5.011138598,2.5,2613281.908,840945.6726
P 012218,21.95025958,2,2629392.459,838997.3499
P 012219,131.0976474,12,2614403.338,863707.7896
P 012220,96.4117406,4.2,2615312.817,872850.5405
P 012221,93.26632547,12.5,2629030.146,869732.5314
P 012222,421.7568137,12.5,2636835.822,866078.274
P 012223,105.8635961,8.5,2683878.829,884127.6807
P 012224,7.111912866,2.5,2650638.555,882426.1241
P 012225,179.3534989,11.5,2667786.472,854130.1661
P 012226,82.03352146,9.2,2637176.52,807012.584
P 012227,37.08343367,4.5,2643446.142,800759.9233
P 012228,49.87831265,1.5,2655041.306,798028.9362
P 012229,37.89494778,3,2676779.239,805803.1289
P 012230,292.6709805,10.5,2683865.647,818311.3023
P 014201,169.7539005,8,2770256.149,838062.6984
P 014202,26.68836853,6.5,2750031.056,887118.2336
P 014203,111.3232784,11,2751329.449,882270.2427
P 014204,74.94218682,12.5,2771337.947,851713.0159
P 014205,150.4768127,12.5,2793553.627,859418.4899
P 014206,197.2405459,5.2,2808391.832,858340.0213
P 014207,11.755019,1.2,2816542.805,856262.796
P 014208,107.4524343,12.5,2828975.536,841825.8949
P 014209,51.3656249,4.2,2846784.766,844456.1799
P 014210,108.0486816,11,2857772.029,837268.9638
P 014211,107.5315425,6.3,2908549.965,859246.2067
P 014212,151.8281894,6.2,2897927.024,863246.651
P 014213,67.63155943,6.5,2898914.793,834715.1704
P 014214,34.04794632,0.8,2892435.596,821938.8662
P 014215,40.46511075,12.5,2886200.401,787495.2481
P 014216,9.279190245,1.7,2875078.929,808005.2682
P 014217,115.1544275,12.5,2906054.323,797716.3898
P 014218,214.7736893,12.5,2848050.151,820443.1382
P 014219,272.8236304,12.5,2843044.618,797617.4568
P 014220,142.2906657,12.5,2838305.009,798206.5301
P 014221,1018.665185,12.5,2819072.949,807623.689
P 014222,46.84138994,1,2821717.923,799606.6599
P 014223,1005.768619,12.5,2779025.797,789168.7528
P 014224,183.3609591,2.5,2759965.749,793864.5266
P 014225,104.1814235,2.5,2782919.242,803790.1935
P 014226,83.47075698,2.2,2804988.491,804770.381
P 014227,1357.71281,12.5,2805277.067,811658.93
P 016001,53.98342576,7.1,3062530.784,898070.8083
P 016004,79.53553039,11.9,3000139.674,894112.0799
P 016008,122.2305716,11.5,3029623.304,891778.2903
P 016013,95.58870904,10,2937958.66,883845.09
P 016015,148.7814784,11.3,2999646.569,882161.0537
P 016021,85.41074057,11.5,2966301.643,874448.049
P 016022,146.1242198,11,2933599.334,872159.8885
P 016027,86.32708352,4.1,3066435.013,866906.7323
P 016030,861.2584966,12.5,3038016.031,863987.6105
P 016038,12.72670905,4.8,3079247.778,852580.9381
P 016047,28.42992655,7.1,2993666.468,845284.9063
P 016061,112.6797272,2.5,3060699.8,834603.5724
P 016072,470.5427218,11,3019548.745,825145.6384
P 016087,5.567998211,2.1,2970604.969,801656.4058
P 016201,18.94335116,3.4,2942369.086,826380.0996
P 016202,75.20174238,12.5,2927309.52,815349.3367
P 016203,57.82144629,12.5,2996471.869,825757.1047
P 016204,707.0666999,12.5,3020279.178,852620.8033
P 016205,301.4585183,12.5,3031654.773,861719.3565
P 016206,83.90792878,2.5,3050572.847,838531.3118
P 016207,806.851787,20,3026853.474,811597.4094
P 016208,70.58620421,15,3022110.987,798989.2301
P 016209,64.93600629,10.6,3088756.263,838277.3551
P 016210,73.24372696,12.5,2959959.848,867614.8032
P 016211,48.20000073,12.5,2936536.527,873127.5699
P 016212,77.36449312,13,2922775.918,886223.7397
P 016213,0,3,2952921.466,837303.9014
P 016214,19.55918268,4,2922509.24,868224.7748
P 016215,99.05547932,12.5,2971938.068,878654.8458
P 018201,42.85277828,7.3,2665975.611,764659.9696
P 018202,23.76186461,1.5,2671051.257,744618.2459
P 018203,21.7010917,0.8,2671621.115,756224.2855
P 018204,11.28911566,0.7,2649859.448,734480.2324
P 018205,19.35283347,2.3,2646112.406,719402.6845
P 018206,40.75804617,6,2661664.4,714342.3452
P 018207,17.08700877,0.5,2656292.593,715176.4633
P 018208,104.9513337,2.1,2592991.523,716495.1254
P 018209,14.16580587,0.5,2593786.636,739367.852
P 018210,47.1850194,5.8,2627612.019,766311.2532
P 018211,151.1434105,1.4,2661110.336,755249.0085
P 018212,9.195527627,1.4,2614034.63,742790.3937
P 018213,121.7731612,6.5,2610492.607,763108.5707
P 018214,20.66317223,0.6,2570773.454,768636.9369
P 018215,10.91315534,0.8,2540640.522,736643.1077
P 018216,22.85972284,0.6,2521607.181,747834.9478
P 018217,48.58356916,2.2,2506045.098,768530.7607
P 018218,25.80467173,1,2507185.581,704172.4149
P 018219,35.40794251,1.7,2523855.916,712602.9298
P 018220,29.9101073,1.3,2522400.049,687023.0218
